,都道府県名,市区町村名,大字町丁目名,住所コード,"都道府県+
市区町村",大字・町,丁目,,市区町村コード,"大字町丁目
コード",Bゾーンコード,,,Bゾーン名称,,1.買物・娯楽施設,2.交通・物流施設,3.公共施設,4.その他,*
,岡山県,岡山市中区,乙多見,33102 012 00,33102,012,00,,33102,331020012000,33,102,08,岡山市中区８区,,,,,,*
,岡山県,岡山市中区,御成町,33102 013 00,33102,013,00,,33102,331020013000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,雄町,33102 014 00,33102,014,00,,33102,331020014000,33,102,07,岡山市中区７区,,,,,,*
,岡山県,岡山市中区,門田文化町一丁目,33102 015 01,33102,015,01,,33102,331020015001,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,門田文化町二丁目,33102 015 02,33102,015,02,,33102,331020015002,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,門田文化町三丁目,33102 015 03,33102,015,03,,33102,331020015003,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,門田本町一丁目,33102 016 01,33102,016,01,,33102,331020016001,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,門田本町二丁目,33102 016 02,33102,016,02,,33102,331020016002,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,門田本町三丁目,33102 016 03,33102,016,03,,33102,331020016003,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,門田本町四丁目,33102 016 04,33102,016,04,,33102,331020016004,33,102,04,岡山市中区４区,,岡山国際ホテル,,,,*
,岡山県,岡山市中区,門田屋敷一丁目,33102 017 01,33102,017,01,,33102,331020017001,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,門田屋敷二丁目,33102 017 02,33102,017,02,,33102,331020017002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,門田屋敷三丁目,33102 017 03,33102,017,03,,33102,331020017003,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,門田屋敷四丁目,33102 017 04,33102,017,04,,33102,331020017004,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,門田屋敷五丁目,33102 017 05,33102,017,05,,33102,331020017005,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,門田屋敷本町,33102 018 00,33102,018,00,,33102,331020018000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,兼基,33102 019 00,33102,019,00,,33102,331020019000,33,102,08,岡山市中区８区,,ホームセンタータイム高屋店,,,,*
,岡山県,岡山市中区,祇園,33102 020 00,33102,020,00,,33102,331020020000,33,102,07,岡山市中区７区,,,,,,*
,岡山県,岡山市中区,旭東町一丁目,33102 021 01,33102,021,01,,33102,331020021001,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,旭東町二丁目,33102 021 02,33102,021,02,,33102,331020021002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,旭東町三丁目,33102 021 03,33102,021,03,,33102,331020021003,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,国富,33102 022 00,33102,022,00,,33102,331020022000,33,102,02,岡山市中区２区,,,ＪＲ西川原駅,,,*
,岡山県,岡山市中区,国富一丁目,33102 023 01,33102,023,01,,33102,331020023001,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,国富二丁目,33102 023 02,33102,023,02,,33102,331020023002,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,国富三丁目,33102 023 03,33102,023,03,,33102,331020023003,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,国富四丁目,33102 023 04,33102,023,04,,33102,331020023004,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,倉田,33102 024 00,33102,024,00,,33102,331020024000,33,102,06,岡山市中区６区,,山陽マルナカ平井店,,,,*
,岡山県,岡山市中区,倉富,33102 025 00,33102,025,00,,33102,331020025000,33,102,06,岡山市中区６区,,,岡山県トラックターミナル,岡山市立旭操小学校,,*
,岡山県,岡山市中区,倉益,33102 026 00,33102,026,00,,33102,331020026000,33,102,06,岡山市中区６区,,,,,,*
,岡山県,岡山市中区,桑野,33102 027 00,33102,027,00,,33102,331020027000,33,102,05,岡山市中区５区,,,,,,*
,岡山県,岡山市中区,神下,33102 028 00,33102,028,00,,33102,331020028000,33,102,08,岡山市中区８区,,ライフステージ太陽岡山東店、ヤマダ電機テックランド東岡山店,,,,*
,岡山県,岡山市中区,国府市場,33102 029 00,33102,029,00,,33102,331020029000,33,102,07,岡山市中区７区,,,,,,*
,岡山県,岡山市中区,小橋町一丁目,33102 030 01,33102,030,01,,33102,331020030001,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,小橋町二丁目,33102 030 02,33102,030,02,,33102,331020030002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,さい(穝),33102 031 00,33102,031,00,,33102,331020031000,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,さい(穝)東町一丁目,33102 032 01,33102,032,01,,33102,331020032001,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,さい(穝)東町二丁目,33102 032 02,33102,032,02,,33102,331020032002,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,さくら住座,33102 033 00,33102,033,00,,33102,331020033000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,桜橋一丁目,33102 034 01,33102,034,01,,33102,331020034001,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,桜橋二丁目,33102 034 02,33102,034,02,,33102,331020034002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,桜橋三丁目,33102 034 03,33102,034,03,,33102,331020034003,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,桜橋四丁目,33102 034 04,33102,034,04,,33102,331020034004,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,沢田,33102 035 00,33102,035,00,,33102,331020035000,33,102,08,岡山市中区８区,,,,,,*
,岡山県,岡山市中区,四御神,33102 036 00,33102,036,00,,33102,331020036000,33,102,07,岡山市中区７区,,,,,,*
,岡山県,岡山市中区,清水,33102 037 00,33102,037,00,,33102,331020037000,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,清水一丁目,33102 038 01,33102,038,01,,33102,331020038001,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,清水二丁目,33102 038 02,33102,038,02,,33102,331020038002,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,下,33102 039 00,33102,039,00,,33102,331020039000,33,102,08,岡山市中区８区,,ホームプラザナフコ東岡山店,,岡山県立岡山城東高等学校,,*
,岡山県,岡山市中区,賞田,33102 040 00,33102,040,00,,33102,331020040000,33,102,07,岡山市中区７区,,,ＪＲ東岡山駅,,,*
,岡山県,岡山市中区,新京橋一丁目,33102 041 01,33102,041,01,,33102,331020041001,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,新京橋二丁目,33102 041 02,33102,041,02,,33102,331020041002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,新京橋三丁目,33102 041 03,33102,041,03,,33102,331020041003,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,新築港,33102 042 00,33102,042,00,,33102,331020042000,33,102,05,岡山市中区５区,,,,岡山港管理事務所,,*
,岡山県,岡山市中区,住吉町一丁目,33102 043 01,33102,043,01,,33102,331020043001,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,住吉町二丁目,33102 043 02,33102,043,02,,33102,331020043002,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,関,33102 044 00,33102,044,00,,33102,331020044000,33,102,08,岡山市中区８区,,,,,,*
,岡山県,岡山市中区,高島一丁目,33102 045 01,33102,045,01,,33102,331020045001,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,高島二丁目,33102 045 02,33102,045,02,,33102,331020045002,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,高島新屋敷,33102 046 00,33102,046,00,,33102,331020046000,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,高屋,33102 047 00,33102,047,00,,33102,331020047000,33,102,08,岡山市中区８区,,山陽マルナカ高屋店,,岡山第一病院,,*
,岡山県,岡山市中区,竹田,33102 048 00,33102,048,00,,33102,331020048000,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,中納言町,33102 049 00,33102,049,00,,33102,331020049000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,土田,33102 050 00,33102,050,00,,33102,331020050000,33,102,07,岡山市中区７区,,,,岡山県立東岡山工業高等学校,,*
,岡山県,岡山市中区,徳吉町一丁目,33102 051 01,33102,051,01,,33102,331020051001,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,徳吉町二丁目,33102 051 02,33102,051,02,,33102,331020051002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,中井,33102 052 00,33102,052,00,北区に中井町一二丁目あり,33102,331020052000,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,中井一丁目,33102 053 01,33102,053,01,北区に中井町一二丁目あり,33102,331020053001,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,中井二丁目,33102 053 02,33102,053,02,北区に中井町一二丁目あり,33102,331020053002,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,中井三丁目,33102 053 03,33102,053,03,,33102,331020053003,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,中井四丁目,33102 053 04,33102,053,04,,33102,331020053004,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,長岡,33102 054 00,33102,054,00,,33102,331020054000,33,102,08,岡山市中区８区,,,,,,*
,岡山県,岡山市中区,中島,33102 055 00,33102,055,00,,33102,331020055000,33,102,03,岡山市中区３区,,,ＪＲ高島駅,,,*
,岡山県,岡山市中区,長利,33102 056 00,33102,056,00,,33102,331020056000,33,102,08,岡山市中区８区,,,,,,*
,岡山県,岡山市中区,西川原,33102 057 00,33102,057,00,,33102,331020057000,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,西川原一丁目,33102 058 01,33102,058,01,,33102,331020058001,33,102,02,岡山市中区２区,,,,私立就実大学,,*
,岡山県,岡山市中区,西中島町,33102 059 00,33102,059,00,,33102,331020059000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,浜,33102 060 00,33102,060,00,,33102,331020060000,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,浜一丁目,33102 061 01,33102,061,01,,33102,331020061001,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,浜二丁目,33102 061 02,33102,061,02,,33102,331020061002,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,浜三丁目,33102 061 03,33102,061,03,,33102,331020061003,33,102,02,岡山市中区２区,,,,岡山市中区役所,,*
,岡山県,岡山市中区,原尾島,33102 062 00,33102,062,00,,33102,331020062000,33,102,02,岡山市中区２区,,天満屋ハピータウン原尾島店,,,,*
,岡山県,岡山市中区,原尾島一丁目,33102 063 01,33102,063,01,,33102,331020063001,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,原尾島二丁目,33102 063 02,33102,063,02,,33102,331020063002,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,原尾島三丁目,33102 063 03,33102,063,03,,33102,331020063003,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,原尾島四丁目,33102 063 04,33102,063,04,,33102,331020063004,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,東川原,33102 064 00,33102,064,00,,33102,331020064000,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,東中島町,33102 065 00,33102,065,00,,33102,331020065000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,東山一丁目,33102 066 01,33102,066,01,,33102,331020066001,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,東山二丁目,33102 066 02,33102,066,02,,33102,331020066002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,東山三丁目,33102 066 03,33102,066,03,,33102,331020066003,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,東山四丁目,33102 066 04,33102,066,04,,33102,331020066004,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,平井,33102 067 00,33102,067,00,,33102,331020067000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,平井一丁目,33102 068 01,33102,068,01,,33102,331020068001,33,102,01,岡山市中区１区,,,,私立山陽学園大学,,*
,岡山県,岡山市中区,平井二丁目,33102 068 02,33102,068,02,,33102,331020068002,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,平井三丁目,33102 068 03,33102,068,03,,33102,331020068003,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,平井四丁目,33102 068 04,33102,068,04,,33102,331020068004,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,平井五丁目,33102 068 05,33102,068,05,,33102,331020068005,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,平井六丁目,33102 068 06,33102,068,06,,33102,331020068006,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,平井七丁目,33102 068 07,33102,068,07,,33102,331020068007,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,福泊,33102 069 00,33102,069,00,,33102,331020069000,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,藤崎,33102 070 00,33102,070,00,,33102,331020070000,33,102,05,岡山市中区５区,,,,岡山市立操南中学校,林原生物化学研究所,*
,岡山県,岡山市中区,藤原,33102 071 00,33102,071,00,,33102,331020071000,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,藤原西町一丁目,33102 072 01,33102,072,01,,33102,331020072001,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,藤原西町二丁目,33102 072 02,33102,072,02,,33102,331020072002,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,藤原光町一丁目,33102 073 01,33102,073,01,,33102,331020073001,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,藤原光町二丁目,33102 073 02,33102,073,02,,33102,331020073002,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,藤原光町三丁目,33102 073 03,33102,073,03,,33102,331020073003,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,古京町一丁目,33102 074 01,33102,074,01,,33102,331020074001,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,古京町二丁目,33102 074 02,33102,074,02,,33102,331020074002,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,円山,33102 075 00,33102,075,00,,33102,331020075000,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,湊,33102 076 00,33102,076,00,,33102,331020076000,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,御幸町,33102 077 00,33102,077,00,,33102,331020077000,33,102,01,岡山市中区１区,,,,,,*
,岡山県,岡山市中区,海吉,33102 078 00,33102,078,00,,33102,331020078000,33,102,04,岡山市中区４区,,,,,大和自動車教習所,*
,岡山県,岡山市中区,森下町,33102 079 00,33102,079,00,,33102,331020079000,33,102,02,岡山市中区２区,,,,,,*
,岡山県,岡山市中区,八幡,33102 080 00,33102,080,00,,33102,331020080000,33,102,03,岡山市中区３区,,,,岡山市立旭竜小学校,,*
,岡山県,岡山市中区,八幡東町,33102 081 00,33102,081,00,,33102,331020081000,33,102,03,岡山市中区３区,,,,,,*
,岡山県,岡山市中区,山崎,33102 082 00,33102,082,00,,33102,331020082000,33,102,04,岡山市中区４区,,,,,,*
,岡山県,岡山市中区,湯迫,33102 083 00,33102,083,00,,33102,331020083000,33,102,07,岡山市中区７区,,,,,,*
,岡山県,岡山市中区,米田,33102 084 00,33102,084,00,,33102,331020084000,33,102,08,岡山市中区８区,,,,,,*
,岡山県,岡山市東区,浅川,33103 001 00,33103,001,00,,33103,331030001000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,浅越,33103 002 00,33103,002,00,,33103,331030002000,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,犬島,33103 003 00,33103,003,00,,33103,331030003000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,内ケ原,33103 004 00,33103,004,00,,33103,331030004000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,浦間,33103 005 00,33103,005,00,,33103,331030005000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,大多羅町,33103 006 00,33103,006,00,,33103,331030006000,33,103,03,岡山市東区３区,,,,,,*
,岡山県,岡山市東区,邑久郷,33103 007 00,33103,007,00,,33103,331030007000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,乙子,33103 008 00,33103,008,00,,33103,331030008000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,可知一丁目,33103 009 01,33103,009,01,,33103,331030009001,33,103,03,岡山市東区３区,,,,岡山市立可知小学校,,*
,岡山県,岡山市東区,可知二丁目,33103 009 02,33103,009,02,,33103,331030009002,33,103,03,岡山市東区３区,,,,,,*
,岡山県,岡山市東区,可知三丁目,33103 009 03,33103,009,03,,33103,331030009003,33,103,03,岡山市東区３区,,,,,,*
,岡山県,岡山市東区,可知四丁目,33103 009 04,33103,009,04,,33103,331030009004,33,103,03,岡山市東区３区,,,,,,*
,岡山県,岡山市東区,可知五丁目,33103 009 05,33103,009,05,,33103,331030009005,33,103,03,岡山市東区３区,,,,,,*
,岡山県,岡山市東区,金岡西町,33103 010 00,33103,010,00,,33103,331030010000,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,金岡東町一丁目,33103 011 01,33103,011,01,,33103,331030011001,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,金岡東町二丁目,33103 011 02,33103,011,02,,33103,331030011002,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,金岡東町三丁目,33103 011 03,33103,011,03,,33103,331030011003,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,金田,33103 012 00,33103,012,00,,33103,331030012000,33,103,05,岡山市東区５区,,,君津出入口,,,*
,岡山県,岡山市東区,上阿知,33103 013 00,33103,013,00,,33103,331030013000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,神崎町,33103 014 00,33103,014,00,,33103,331030014000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,北幸田,33103 015 00,33103,015,00,,33103,331030015000,33,103,06,岡山市東区６区,,,,岡山市立山南中学校,,*
,岡山県,岡山市東区,君津,33103 016 00,33103,016,00,,33103,331030016000,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,久々井,33103 017 00,33103,017,00,,33103,331030017000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,草ケ部,33103 018 00,33103,018,00,,33103,331030018000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,九蟠,33103 019 00,33103,019,00,,33103,331030019000,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,久保,33103 020 00,33103,020,00,,33103,331030020000,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,鉄,33103 021 00,33103,021,00,,33103,331030021000,33,103,02,岡山市東区２区,,,,,,*
,岡山県,岡山市東区,幸地崎町,33103 022 00,33103,022,00,,33103,331030022000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,光津,33103 023 00,33103,023,00,,33103,331030023000,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,河本町,33103 024 00,33103,024,00,,33103,331030024000,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,古都宿,33103 025 00,33103,025,00,,33103,331030025000,33,103,02,岡山市東区２区,,,,岡山市立古都小学校,,*
,岡山県,岡山市東区,古都南方,33103 026 00,33103,026,00,,33103,331030026000,33,103,02,岡山市東区２区,,,,,,*
,岡山県,岡山市東区,才崎,33103 027 00,33103,027,00,,33103,331030027000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,西大寺,33103 028 00,33103,028,00,,33103,331030028000,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺射越,33103 029 00,33103,029,00,,33103,331030029000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西大寺一宮,33103 030 00,33103,030,00,,33103,331030030000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西大寺金岡,33103 031 00,33103,031,00,,33103,331030031000,33,103,05,岡山市東区５区,,,,,,*
,岡山県,岡山市東区,西大寺上一丁目,33103 032 01,33103,032,01,,33103,331030032001,33,103,04,岡山市東区４区,,リョービプラッツ西大寺店,,,,*
,岡山県,岡山市東区,西大寺上二丁目,33103 032 02,33103,032,02,,33103,331030032002,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺上三丁目,33103 032 03,33103,032,03,,33103,331030032003,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺川口,33103 033 00,33103,033,00,,33103,331030033000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西大寺北,33103 034 00,33103,034,00,,33103,331030034000,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺五明,33103 035 00,33103,035,00,,33103,331030035000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西大寺新,33103 036 00,33103,036,00,,33103,331030036000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西大寺新地,33103 037 00,33103,037,00,,33103,331030037000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西大寺中一丁目,33103 038 01,33103,038,01,,33103,331030038001,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺中二丁目,33103 038 02,33103,038,02,,33103,331030038002,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺中三丁目,33103 038 03,33103,038,03,,33103,331030038003,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺中野,33103 039 00,33103,039,00,,33103,331030039000,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺中野本町,33103 040 00,33103,040,00,,33103,331030040000,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺浜,33103 041 00,33103,041,00,,33103,331030041000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西大寺東一丁目,33103 042 01,33103,042,01,,33103,331030042001,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺東二丁目,33103 042 02,33103,042,02,,33103,331030042002,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺東三丁目,33103 042 03,33103,042,03,,33103,331030042003,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺松崎,33103 043 00,33103,043,00,,33103,331030043000,33,103,03,岡山市東区３区,,,,,,*
,岡山県,岡山市東区,西大寺南一丁目,33103 044 01,33103,044,01,,33103,331030044001,33,103,04,岡山市東区４区,,ＨＣコーナン西大寺店、ケーズデンキ岡山西大寺店、天満屋ハピータウン西大寺店,,岡山市東区役所,,*
,岡山県,岡山市東区,西大寺南二丁目,33103 044 02,33103,044,02,,33103,331030044002,33,103,04,岡山市東区４区,,,,,,*
,岡山県,岡山市東区,西大寺門前,33103 045 00,33103,045,00,,33103,331030045000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,西隆寺,33103 046 00,33103,046,00,,33103,331030046000,33,103,04,岡山市東区４区,,,ＪＲ西大寺駅,,,*
,岡山県,岡山市東区,宍甘,33103 047 00,33103,047,00,,33103,331030047000,33,103,02,岡山市東区２区,,,,岡山県立岡山東支援学校,,*
,岡山県,岡山市東区,下阿知,33103 048 00,33103,048,00,,33103,331030048000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,宿毛,33103 049 00,33103,049,00,,33103,331030049000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,上道北方,33103 050 00,33103,050,00,,33103,331030050000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,城東台西一丁目,33103 051 01,33103,051,01,,33103,331030051001,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,城東台西二丁目,33103 051 02,33103,051,02,,33103,331030051002,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,城東台西三丁目,33103 051 03,33103,051,03,,33103,331030051003,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,城東台東一丁目,33103 052 01,33103,052,01,,33103,331030052001,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,城東台東二丁目,33103 052 02,33103,052,02,,33103,331030052002,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,城東台南一丁目,33103 053 01,33103,053,01,,33103,331030053001,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,城東台南二丁目,33103 053 02,33103,053,02,,33103,331030053002,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,水門町,33103 054 00,33103,054,00,,33103,331030054000,33,103,06,岡山市東区６区,,,,,,*
,岡山県,岡山市東区,砂場,33103 055 00,33103,055,00,,33103,331030055000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,西祖,33103 056 00,33103,056,00,,33103,331030056000,33,103,01,岡山市東区１区,,,,,,*
,岡山県,岡山市東区,瀬戸町旭ヶ丘一丁目,33103 057 01,33103,057,01,,33103,331030057001,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町旭ヶ丘二丁目,33103 057 02,33103,057,02,,33103,331030057002,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町旭ヶ丘三丁目,33103 057 03,33103,057,03,,33103,331030057003,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町旭ヶ丘四丁目,33103 057 04,33103,057,04,,33103,331030057004,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町江尻,33103 058 00,33103,058,00,,33103,331030058000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町大内,33103 059 00,33103,059,00,,33103,331030059000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町沖,33103 060 00,33103,060,00,,33103,331030060000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町鍛冶屋,33103 061 00,33103,061,00,,33103,331030061000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町肩脊,33103 062 00,33103,062,00,,33103,331030062000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町観音寺,33103 063 00,33103,063,00,,33103,331030063000,33,103,07,岡山市東区７区,,,,IPU・環太平洋大学,,*
,岡山県,岡山市東区,瀬戸町菊山,33103 064 00,33103,064,00,,33103,331030064000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町光明谷,33103 065 00,33103,065,00,,33103,331030065000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町坂根,33103 066 00,33103,066,00,,33103,331030066000,33,103,07,岡山市東区７区,,,,,,*
,岡山県,岡山市東区,瀬戸町笹岡,33103 067 00,33103,067,00,,33103,331030067000,33,103,07,岡山市東区７区,,,,,,*
